CustomerID,Nom,Prenom,NAS,Phone,Country,Card
1,Mercier,Franck,123 456 789,438 345 6969,Canada,5425233430109903
2,Nelson,Roger,999 333 222,514 654 1123,Canada,2222420000001113
3,Ergélle,Octave,438 111 333,+33 1 48 90 43 04,France,2223000048410010
4,Tarsèche,Guy,323 123 243,+33 1 48 44 43 04,France,4917484589897107
5,Tabi,John,999 345 456,+33 1 48 90 53 04, France,374245455400126
6,Ciermer,Franck,123 456 789,438 345 6469,Canada,4001919257537193
7,Sonnel,Roger,999 333 222,514 654 1103,Canada,4263982640269299
8,Berske,Octave,438 111 333,+33 1 48 10 43 04,France,4007702835532454
9,Yupo,Guy,323 123 243,+33 1 48 42 47 04,France,3566000020000410
10,Ghorafi,John,999 345 456,+33 1 44 94 54 04,France,6362970000457013
